"Id","SalePrice"
1461,119714.646430101
1462,134988.575546049
1463,172280.962528488
1464,172536.885635563
1465,183354.354480275
1466,172824.942778584
1467,168009.926080585
1468,169224.175008435
1469,166074.174993294
1470,121549.950413281
1471,198868.155124538
1472,101693.983825946
1473,104854.066754876
1474,143341.874116698
1475,114792.804255477
1476,321602.812637228
1477,228474.113388727
1478,274688.159975367
1479,270525.848516435
1480,387414.674868895
1481,269791.531354025
1482,200862.192550112
1483,170898.461060164
1484,166865.164105003
1485,177201.145598841
1486,189113.902328836
1487,279402.637880128
1488,219424.732324467
1489,188249.539834268
1490,204096.142854296
1491,181215.281366198
1492,97196.8669506637
1493,175237.567914315
1494,271866.99197677
1495,263203.338145891
1496,221799.778060555
1497,171585.571650164
1498,154055.480288286
1499,151236.215819041
1500,155271.6016417
1501,162734.340255201
1502,159232.752722809
1503,253831.649770501
1504,221089.337105733
1505,206362.389540051
1506,163776.023669927
1507,207093.778211458
1508,180990.900030828
1509,146484.092956184
1510,140855.119308118
1511,139560.711620145
1512,146965.558464226
1513,139535.376734007
1514,138117.316061157
1515,186097.299331017
1516,149436.332425071
1517,138348.221249572
1518,130912.717033006
1519,208158.460296668
1520,127917.033162952
1521,128652.836488498
1522,157552.635086118
1523,110790.2596777
1524,112202.629594833
1525,112095.634497119
1526,110774.589868066
1527,105898.083653884
1528,122425.119582627
1529,133693.504046916
1530,161638.238133253
1531,137061.338770868
1532,99525.8276133581
1533,125689.180228746
1534,121035.032085967
1535,135273.351137629
1536,112853.128291289
1537,92627.8261203498
1538,141344.327210162
1539,171419.307643503
1540,114068.518519947
1541,136976.90946231
1542,132703.722151699
1543,156993.251200331
1544,83856.6226138755
1545,107536.880043561
1546,141089.10065755
1547,136038.80333621
1548,122577.390046804
1549,112804.371941041
1550,138310.503433493
1551,118112.991801067
1552,149246.055541227
1553,119563.742814152
1554,121729.343903756
1555,158528.587282005
1556,100617.455401889
1557,94966.1501737536
1558,95618.9838677368
1559,103041.410354263
