"Id","SalePrice"
1461,114171.867091069
1462,162148.535528314
1463,193885.36999479
1464,191934.760729941
1465,187406.769166683
1466,175643.324791442
1467,171770.47977566
1468,169822.934608378
1469,182325.048226464
1470,130032.036901964
1471,180248.177031871
1472,98863.1536734532
1473,95168.8986462347
1474,151837.822179095
1475,147328.125820406
1476,381966.786482785
1477,262470.749876999
1478,281761.061995547
1479,295018.146084918
1480,538056.378363089
1481,335061.253286086
1482,214717.169670537
1483,178680.935719397
1484,168375.917110373
1485,176289.274817261
1486,191474.778778626
1487,327895.015387075
1488,235357.819808055
1489,202124.103197455
1490,226253.160075245
1491,190698.01904057
1492,89788.4203323135
1493,179786.058936094
1494,285230.041424219
1495,273486.739192425
1496,225250.089803207
1497,184625.417970414
1498,160060.33149003
1499,161549.213593571
1500,151845.945092362
1501,167831.150477286
1502,163420.970028031
1503,286660.768992385
1504,251147.532631036
1505,236959.21596609
1506,186331.404004994
1507,219005.900929406
1508,197353.906566525
1509,163709.897144208
1510,153600.32997371
1511,147641.812649523
1512,165330.962329754
1513,129750.530086806
1514,150201.353793402
1515,180765.508470795
1516,143946.745389004
1517,157632.129108546
1518,125800.507891712
1519,206997.368876069
1520,143763.482015408
1521,144180.204598886
1522,162056.059883444
1523,115630.619911778
1524,128687.160665351
1525,128078.340278864
1526,117641.358886407
1527,108230.359426544
1528,129354.919873296
1529,151621.408382011
1530,175879.03652517
1531,104714.408981716
1532,94533.360015856
1533,137128.01608755
1534,120444.234484144
1535,143025.811879924
1536,112949.664476396
1537,71313.215692507
1538,154687.693985769
1539,198620.662623211
1540,106151.775969821
1541,136594.973540657
1542,145703.088959785
1543,208700.019562413
1544,79115.2098008589
1545,111215.417083223
1546,129232.861602512
1547,143243.034135838
1548,138044.905051764
1549,103801.839812174
1550,147203.871594043
1551,106769.210247561
1552,127652.552371076
1553,150169.569758462
1554,108402.394269152
1555,182312.585677182
1556,93905.5790208538
1557,118117.849889085
1558,89533.8419505419
1559,98843.6006143212
1560,137272.936707349
1561,128810.309894441
1562,126797.647174409
1563,127895.026744369
1564,160422.630447104
1565,149111.375263967
1566,233609.625177312
1567,78575.6385381727
1568,227829.609649522
1569,139302.42277423
1570,139480.346032517
1571,122339.960661853
1572,151842.580752093
1573,239177.796393367
1574,109349.997492757
1575,208670.061469209
1576,221583.1805738
1577,193715.783128079
1578,155863.75929737
1579,140564.109795974
1580,189983.284741172
1581,158171.535949872
1582,132440.565059015
1583,295814.704707656
1584,236375.081560748
1585,143409.937975148
1586,67971.8172171518
1587,98615.1009227172
1588,158882.38315185
1589,89116.2542091279
1590,134742.683110248
1591,91008.6625728812
1592,122077.473993006
1593,120540.840319081
1594,142927.47697922
1595,112871.973881785
1596,239365.713282462
1597,192016.735599601
1598,211497.591415748
1599,192362.416021749
1600,188691.371359263
1601,58185.0550091131
